Study_ID,Species_scientific_name,Species_scientific_name_comment,
S_002,Danio rerio,zebrafish,
S_003,Alle alle; Catharacta lonnbergi; Catharacta maccormicki; Diomedea exulans; Eudyptula minor; Fratercula arctica; Fulmarus glacialis; Larus argentatus; Larus audouinii; Larus fuscus; Larus hyperboreus; Larus marinus; Larus michahellis; Macronectes giganteus; Macronectes halli; Pagodroma nivea; Pelecanus erythrorhynchos; Phalacrocorax auritus; Phalacrocorax carbo; Pygoscelis adeliae; Pygoscelis antarcticus; Pygoscelis papua; Rissa tridactyla; Sterna caspia; Sterna forsteri; Thalassarche chlororhynchos; Uria lomvia; Phalacrocorax aristotelis;          ,,
